City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
229,Bukene,TZ,-4.2333,32.8833,70.97,60,92,4.45,overcast clouds,2021-11-01 01:33:46
230,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,94,100,7.9,overcast clouds,2021-11-01 01:33:47
231,Sebezh,RU,56.2955,28.4654,40.08,86,12,6.04,few clouds,2021-11-01 01:33:47
232,Bengkulu,ID,-3.8004,102.2655,80.38,77,100,2.57,overcast clouds,2021-11-01 01:30:34
233,Sabha,LY,27.0377,14.4283,65.68,27,0,1.92,clear sky,2021-11-01 01:33:47
234,Mossendjo,CG,-2.9506,12.7261,70.21,99,100,2.19,overcast clouds,2021-11-01 01:33:48
235,Sarai,RU,53.7458,41.0213,39.61,84,6,7.2,clear sky,2021-11-01 01:33:48
236,Sioux Lookout,CA,50.1001,-91.917,33.87,93,90,8.05,light shower snow,2021-11-01 01:33:48
237,Almaznyy,RU,48.0448,40.045,46.54,95,0,7.63,clear sky,2021-11-01 01:33:48
238,Oum Hadjer,TD,13.2954,19.6966,80.53,23,38,7.78,scattered clouds,2021-11-01 01:33:49
239,Dikson,RU,73.5069,80.5464,5.72,93,97,11.12,overcast clouds,2021-11-01 01:33:49
240,Envira,BR,-7.3,-70.2167,74.66,91,90,2.82,overcast clouds,2021-11-01 01:33:49
241,Pacific Grove,US,36.6177,-121.9166,61.99,79,1,1.01,clear sky,2021-11-01 01:31:39
242,Nicoya,CR,10.1483,-85.452,76.55,91,98,0.94,overcast clouds,2021-11-01 01:33:50
243,Gap,FR,44.6667,6.0,43.07,87,100,4.54,overcast clouds,2021-11-01 01:33:50
244,Tekeli,KZ,44.83,78.8239,37.54,66,100,5.23,overcast clouds,2021-11-01 01:33:50
245,Uyuni,BO,-20.4597,-66.825,50.56,9,100,5.26,overcast clouds,2021-11-01 01:33:51
246,Saint-Joseph,RE,-21.3667,55.6167,67.21,82,32,9.57,scattered clouds,2021-11-01 01:33:51
247,Geraldton,AU,-28.7667,114.6,68.41,56,75,17.27,broken clouds,2021-11-01 01:31:50
248,Aksu,CN,41.1231,80.2644,43.97,31,0,2.71,clear sky,2021-11-01 01:33:51
249,Mafinga,TZ,-7.25,35.0667,69.84,75,100,3.33,overcast clouds,2021-11-01 01:33:52
250,Liverpool,GB,53.4106,-2.9779,50.18,86,75,5.01,light rain,2021-11-01 01:29:01
251,Maicao,CO,11.3832,-72.2432,77.49,82,97,5.28,overcast clouds,2021-11-01 01:33:52
252,Ixtapa,MX,20.7,-105.2,74.35,92,4,1.39,clear sky,2021-11-01 01:33:52
253,Paita,PE,-5.0892,-81.1144,64.69,82,14,12.01,few clouds,2021-11-01 01:33:53
254,Flin Flon,CA,54.7682,-101.865,30.25,92,100,7.52,light snow,2021-11-01 01:33:53
255,Half Moon Bay,US,37.4636,-122.4286,63.03,78,1,1.01,clear sky,2021-11-01 01:33:53
256,Banda Aceh,ID,5.5577,95.3222,81.95,73,93,4.76,overcast clouds,2021-11-01 01:33:54
257,Daloa,CI,6.8774,-6.4502,70.16,99,100,2.84,light rain,2021-11-01 01:33:54
258,Galveston,US,29.3669,-94.9669,71.56,70,1,4.61,clear sky,2021-11-01 01:33:54
